Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  SegTree::_sum(long long, long long, long long, long long, long long)
  0.00      0.00     0.00        1     0.00     0.00  SegTree::pushdn(long long)
  0.00      0.00     0.00        1     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)
  0.00      0.00     0.00        1     0.00     0.00  SegTree::~SegTree()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::get_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::get_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<Node>::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<long long, std::allocator<long long> >::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::function<void (long long, long long, long long)>::operator()(long long, long long, long long) const
  0.00      0.00     0.00        1     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.00     0.00        1     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}* const& std::_Any_data::_M_access<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}*>() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_allocate(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_base(unsigned long, std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_base(std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Node, std::allocator<Node> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<long long, std::allocator<long long> >::_Vector_base(std::allocator<long long> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, false>)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_get_pointer(std::_Any_data const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_init_functor<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>(std::_Any_data&, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&&)
  0.00      0.00     0.00        1     0.00     0.00  bool std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_not_empty_function<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>(SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1} const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Function_base::_Base_manager<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_create<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>(std::_Any_data&, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&&, std::integral_constant<bool, false>)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<Node>::deallocate(Node*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<Node>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Node> >::deallocate(std::allocator<Node>&, Node*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Node> >::allocate(std::allocator<Node>&, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Node> >::max_size(std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_handler<void (long long, long long, long long), SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00        1     0.00     0.00  std::_Function_handler<void (long long, long long, long long), SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_invoke(std::_Any_data const&, long long&&, long long&&, long long&&)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::__uninitialized_default_n_1<true>::__uninit_default_n<Node*, unsigned long>(Node*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::_S_max_size(std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::_M_move_assign(std::vector<Node, std::allocator<Node> >&&, std::integral_constant<bool, true>)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::_S_check_init_len(unsigned long, std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::_M_default_initialize(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::vector(std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::vector(unsigned long, std::allocator<Node> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Node, std::allocator<Node> >::operator=(std::vector<Node, std::allocator<Node> >&&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<long long, std::allocator<long long> >::_M_move_assign(std::vector<long long, std::allocator<long long> >&&, std::integral_constant<bool, true>)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<long long, std::allocator<long long> >::vector(std::allocator<long long> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<long long, std::allocator<long long> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator=(std::vector<long long, std::allocator<long long> >&&)
  0.00      0.00     0.00        1     0.00     0.00  std::function<void (long long, long long, long long)>::function<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}, void>(SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&&)
  0.00      0.00     0.00        1     0.00     0.00  std::function<void (long long, long long, long long)>::~function()
  0.00      0.00     0.00        1     0.00     0.00  void std::_Construct<Node>(Node*)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::__fill_n_a<Node*, unsigned long, Node>(Node*, unsigned long, Node const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        1     0.00     0.00  std::enable_if<is_invocable_r_v<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>, void>::type std::__invoke_r<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>(SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long&&, long long&&, long long&&)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::__addressof<Node>(Node&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__invoke_impl<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>(std::__invoke_other, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long&&, long long&&, long long&&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__alloc_on_move<std::allocator<Node> >(std::allocator<Node>&, std::allocator<Node>&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__alloc_on_move<std::allocator<long long> >(std::allocator<long long>&, std::allocator<long long>&)
  0.00      0.00     0.00        1     0.00     0.00  std::iterator_traits<Node*>::iterator_category std::__iterator_category<Node*>(Node* const&)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::__uninitialized_default_n<Node*, unsigned long>(Node*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::__uninitialized_default_n_a<Node*, unsigned long, Node>(Node*, unsigned long, std::allocator<Node>&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::allocator<Node>&>::type&& std::move<std::allocator<Node>&>(std::allocator<Node>&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::allocator<long long>&>::type&& std::move<std::allocator<long long>&>(std::allocator<long long>&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::vector<Node, std::allocator<Node> >&>::type&& std::move<std::vector<Node, std::allocator<Node> >&>(std::vector<Node, std::allocator<Node> >&)
  0.00      0.00     0.00        1     0.00     0.00  std::remove_reference<std::vector<long long, std::allocator<long long> >&>::type&& std::move<std::vector<long long, std::allocator<long long> >&>(std::vector<long long, std::allocator<long long> >&)
  0.00      0.00     0.00        1     0.00     0.00  Node* std::fill_n<Node*, unsigned long, Node>(Node*, unsigned long, Node const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__fill_a<Node*, Node>(Node*, Node*, Node const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__fill_a<long long*, long long>(long long*, long long*, long long const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<!std::__is_scalar<Node>::__value, void>::__type std::__fill_a1<Node*, Node>(Node*, Node*, Node const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<long long>::__value, void>::__type std::__fill_a1<long long*, long long>(long long*, long long*, long long const&)
  0.00      0.00     0.00        1     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}::operator()(long long, long long, long long) const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2023 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00       3/12          std::function<void (long long, long long, long long)>::operator()(long long, long long, long long) const [91]
                0.00    0.00       3/12          std::_Function_handler<void (long long, long long, long long), SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}>::_M_invoke(std::_Any_data const&, long long&&, long long&&, long long&&) [117]
                0.00    0.00       3/12          std::enable_if<is_invocable_r_v<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>, void>::type std::__invoke_r<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>(SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long&&, long long&&, long long&&) [135]
                0.00    0.00       3/12          void std::__invoke_impl<void, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long, long long, long long>(std::__invoke_other, SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&, long long&&, long long&&, long long&&) [137]
[8]      0.0    0.00    0.00      12         long long&& std::forward<long long>(std::remove_reference<long long>::type&) [8]
-----------------------------------------------
                0.00    0.00       1/9           main [6]
                0.00    0.00       1/9           SegTree::SegTree(std::vector<long long, std::allocator<long long> >&) [82]
                0.00    0.00       1/9           std::vector<long long, std::allocator<long long> >::_M_move_assign(std::vector<long long, std::allocator<long long> >&&, std::integral_constant<bool, true>) [127]
                0.00    0.00       2/9           std::vector<long long, std::allocator<long long> >::_S_check_init_len(unsigned long, std::allocator<long long> const&) [65]
                0.00    0.00       4/9           std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::~_Vector_impl() [26]
[9]      0.0    0.00    0.00       9         std::allocator<long long>::~allocator() [9]
                0.00    0.00       9/9           std::__new_allocator<long long>::~__new_allocator() [10]
-----------------------------------------------
                0.00    0.00       9/9           std::allocator<long long>::~allocator() [9]
[10]     0.0    0.00    0.00       9         std::__new_allocator<long long>::~__new_allocator() [10]
-----------------------------------------------
                0.00    0.00       2/8           std::vector<long long, std::allocator<long long> >::_M_default_initialize(unsigned long) [66]
                0.00    0.00       2/8           std::vector<long long, std::allocator<long long> >::_M_move_assign(std::vector<long long, std::allocator<long long> >&&, std::integral_constant<bool, true>) [127]
                0.00    0.00       4/8           std::vector<long long, std::allocator<long long> >::~vector() [30]
[11]     0.0    0.00    0.00       8         std::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator() [11]
-----------------------------------------------
                0.00    0.00       2/8           SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}::operator()(long long, long long, long long) const [152]
                0.00    0.00       6/8           SegTree::apply(long long, long long) [47]
[12]     0.0    0.00    0.00       8         std::vector<Node, std::allocator<Node> >::operator[](unsigned long) [12]
-----------------------------------------------
                0.00    0.00       1/7           main [6]
